order_id,sku_category,basket_size,pick_time,congestion_score,warehouse_wait_time,rider_distance_km,delivery_time,sla_breach,order_cost,city_zone,peak_hour,pick_cost,staging_cost,last_mile_cost
0,Snacks,2,25,10,1,7.07,50,1,95.26,West,0,37.5,1.2,56.56
1,Fruits,14,30,10,8,2.45,52,1,74.2,East,0,45.0,9.6,19.6
2,Beverages,5,27,6,4,1.3,39,1,55.7,South,0,40.5,4.8,10.4
3,Frozen,14,40,1,9,11.72,73,1,164.56,East,1,60.0,10.799999999999999,93.76
4,Household,14,15,1,7,9.48,41,1,106.74,East,1,22.5,8.4,75.84
5,Dairy,5,28,1,11,8.42,56,1,122.56,North,0,42.0,13.2,67.36
6,Household,10,10,1,17,7.52,43,1,95.56,West,0,15.0,20.4,60.16
7,Fruits,12,36,10,5,4.4,59,1,95.2,South,0,54.0,6.0,35.2
8,Snacks,4,36,4,11,11.41,73,1,158.48,South,0,54.0,13.2,91.28
9,Dairy,4,37,9,10,6.36,68,1,118.38,North,1,55.5,12.0,50.88
10,Fruits,10,7,5,17,2.25,33,1,48.9,East,1,10.5,20.4,18.0
11,Fruits,1,35,5,4,3.15,50,1,82.5,West,1,52.5,4.8,25.2
12,Fruits,2,32,7,3,9.85,61,1,130.4,South,0,48.0,3.5999999999999996,78.8
13,Dairy,1,31,8,1,9.37,58,1,122.66,West,0,46.5,1.2,74.96
14,Fruits,6,27,10,6,4.05,51,1,80.1,West,0,40.5,7.199999999999999,32.4
15,Dairy,6,33,1,6,5.11,50,1,97.58,East,1,49.5,7.199999999999999,40.88
16,Fruits,7,29,8,5,10.99,63,1,137.42,West,0,43.5,6.0,87.92
17,Dairy,3,38,5,4,2.89,52,1,84.92,South,0,57.0,4.8,23.12
18,Household,2,29,1,2,11.27,54,1,136.06,West,1,43.5,2.4,90.16
19,Fruits,7,31,2,14,2.46,51,1,82.98,South,1,46.5,16.8,19.68
20,Fruits,2,19,4,4,7.7,42,1,94.9,West,1,28.5,4.8,61.6
21,Household,11,9,10,9,4.9,37,1,63.5,North,1,13.5,10.799999999999999,39.2
22,Beverages,9,35,9,16,10.68,81,1,157.14,East,0,52.5,19.2,85.44
23,Dairy,8,16,8,10,9.91,53,1,115.28,South,1,24.0,12.0,79.28
24,Fruits,7,16,4,17,8.99,54,1,116.32,East,0,24.0,20.4,71.92
25,Dairy,11,7,6,14,1.36,29,0,38.18,North,0,10.5,16.8,10.88
26,Beverages,9,6,7,3,8.83,33,1,83.24,West,0,9.0,3.5999999999999996,70.64
27,Fruits,10,9,4,16,5.99,40,1,80.62,West,1,13.5,19.2,47.92
28,Household,13,18,4,17,11.04,61,1,135.72,South,1,27.0,20.4,88.32
29,Dairy,4,20,5,18,4.66,52,1,88.88,West,0,30.0,21.599999999999998,37.28
30,Frozen,8,24,10,11,8.07,61,1,113.76,East,0,36.0,13.2,64.56
31,Fruits,6,18,6,8,4.52,41,1,72.76,South,1,27.0,9.6,36.16
32,Household,11,14,5,7,5.2,36,1,71.0,East,0,21.0,8.4,41.6
33,Snacks,15,17,6,13,6.21,48,1,90.78,South,0,25.5,15.6,49.68
34,Vegetables,11,10,6,20,2.74,41,1,60.92,South,0,15.0,24.0,21.92
35,Beverages,1,17,8,5,8.53,47,1,99.74,North,1,25.5,6.0,68.24
36,Snacks,9,21,6,14,5.3,51,1,90.7,East,0,31.5,16.8,42.4
37,Vegetables,12,25,3,20,11.24,70,1,151.42,West,0,37.5,24.0,89.92
38,Household,1,26,4,13,2.91,48,1,77.88,East,0,39.0,15.6,23.28
39,Snacks,3,7,4,5,8.07,32,1,81.06,West,1,10.5,6.0,64.56
40,Fruits,7,35,5,16,1.45,58,1,83.3,North,1,52.5,19.2,11.6
41,Frozen,8,33,1,14,11.45,70,1,157.9,West,1,49.5,16.8,91.6
42,Dairy,15,26,1,1,3.44,34,1,67.72,East,0,39.0,1.2,27.52
43,Snacks,12,29,1,8,7.57,53,1,113.66,East,1,43.5,9.6,60.56
44,Frozen,13,39,9,9,3.47,63,1,97.06,North,0,58.5,10.799999999999999,27.76
45,Vegetables,15,30,9,2,7.55,56,1,107.8,South,0,45.0,2.4,60.4
46,Vegetables,10,32,7,16,7.75,70,1,129.2,North,0,48.0,19.2,62.0
47,Snacks,15,39,5,1,3.51,52,1,87.78,South,0,58.5,1.2,28.08
